data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8786577,729,SUD16287,16287,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Health Workers (Sudan)",6,,,0,60,"Northern Africa",Sudan,Khartoum,Omdurman,,Omdurman,15.6573,32.4739,1,"Al Rakoba",National,"On 9 January 2022, medical doctors staged a protest vigil in Omdurman (Khartoum state), calling security forces to end hospital attacks. [size=no report]",0,1642443562,SDN
8786750,729,SUD16291,16291,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"Al Jazirah","Medani Al Kubra",,"Wad Medani",14.3983,33.5477,1,"Radio Dabanga",National,"On 9 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Wad Medani (Medani Al Kubra locality, Al Jazirah state), denouncing the military coup and calling for civilian government. [size=no report]",0,1642443562,SDN
8786756,729,SUD16277,16277,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Farmers (Sudan)",6,,,0,60,"Northern Africa",Sudan,Northern,"Ad Dabbah",,"Ed Debba",18.05,30.95,1,"Radio Dabanga",National,"On 9 January 2022, activists and farmers started a sit-in protest and closed [through unspecific means] the Sheryan El Shimal highway that leads to Egypt in Ed Debba (Ad Dabbah locality, Northern state) against increased electricity bill tariffs. [size=no report]",0,1642443562,SDN
8786757,729,SUD16275,16275,"09 January 2022",2022,1,"Violence against civilians","Sexual violence","Darfur Communal Militia (Sudan)",,4,"Civilians (Sudan)","Women (Sudan)",7,47,"Northern Africa",Sudan,"North Darfur","Saraf Omra",,"Birkat Seira",13.5665,23.4473,1,"Radio Dabanga",National,"On 9 January 2022, armed men (assumed Darfur communal militia) shot and injured three civilians and raped a woman in Birkat Seira (Saraf Omra locality, North Darfur state).",0,1642443562,SDN
8786760,729,SUD16274,16274,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"River Nile",Atbara,,Atbara,17.6949,33.9852,1,"Radio Dabanga",National,"On 9 January 2022, thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Atbara (Atbara locality, River Nile state), denouncing the military coup and calling for civilian government. [size=thousands]",0,1642443562,SDN
8786761,729,SUD16292,16292,"09 January 2022",2022,1,"Violence against civilians",Attack,"Darfur Communal Militia (Sudan)",,4,"Civilians (Sudan)",,7,47,"Northern Africa",Sudan,"North Darfur","Saraf Omra",,"Wadi Bardi",13.5068,23.6385,1,"Radio Dabanga",National,"On 9 January 2022, armed men (assumed Darfur communal militia) shot and injured six civilians in a looting incident in Wadi Bardi (Saraf Omra locality, North Darfur state).",0,1642443562,SDN
8786763,729,SUD16280,16280,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"North Kordofan",Sheikan,,"El Obeid",13.1842,30.2167,1,"Radio Dabanga",National,"On 9 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in El Obeid (Sheikan locality, North Kordofan state), denouncing the military coup and calling for civilian government. [size=no report]",0,1642443562,SDN
8786766,729,SUD16289,16289,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"Red Sea","Port Sudan",,"Port Sudan",19.6148,37.2225,1,"Radio Dabanga",National,"On 9 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Port Sudan (Port Sudan locality, Red Sea state), denouncing the military coup and calling for civilian government. [size=no report]",0,1642443562,SDN
8786774,729,SUD16281,16281,"09 January 2022",2022,1,"Violence against civilians",Attack,"Darfur Communal Militia (Sudan)","Pastoralists (Sudan)",4,"Civilians (Sudan)","Farmers (Sudan)",7,47,"Northern Africa",Sudan,"South Darfur",Kateila,,Katayla,11.1922,24.3986,2,"Radio Dabanga",National,"On 9 January 2022, armed pastoralist (assumed Darfur communal militia) shot and killed a farmer and injured two others in Qadeera village near Katayla (Kateila locality, South Darfur state).",1,1642443562,SDN
8786775,729,SUD16286,16286,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"South Darfur","Nyala Janoub",,Nyala,12.0556,24.8906,1,"Radio Dabanga",National,"On 9 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Nyala (Nyala Janoub locality, South Darfur), denouncing the military coup and calling for civilian government. [size=no report]",0,1642443562,SDN
